code,code_name,n_qubits,noise,p,P_L,n_trials
five_qubit,5-qubit perfect code,5,depolarizing,0.009800786961168824,0.0008918741444705437,306097
five_qubit,5-qubit perfect code,5,depolarizing,0.013036726897376788,0.001646973956952707,230119
five_qubit,5-qubit perfect code,5,depolarizing,0.017341081779469535,0.0027514609911039947,172999
five_qubit,5-qubit perfect code,5,depolarizing,0.02306661170778679,0.0048670593119992615,130058
five_qubit,5-qubit perfect code,5,depolarizing,0.030682548092687834,0.009010483252365123,97775
five_qubit,5-qubit perfect code,5,depolarizing,0.04081304915460552,0.015645194204475885,73505
five_qubit,5-qubit perfect code,5,depolarizing,0.05428835233189814,0.02596815056098444,55260
five_qubit,5-qubit perfect code,5,depolarizing,0.07221281575281993,0.0463,50000
five_qubit,5-qubit perfect code,5,depolarizing,0.09605542505821689,0.071,50000
five_qubit,5-qubit perfect code,5,depolarizing,0.1277701829921294,0.12274,50000
five_qubit,5-qubit perfect code,5,depolarizing,0.1699562481967874,0.19428,50000
five_qubit,5-qubit perfect code,5,depolarizing,0.22607094726402102,0.2989,50000
five_qubit,5-qubit perfect code,5,depolarizing,0.3007131172822503,0.43654,50000
five_qubit,5-qubit perfect code,5,depolarizing,0.4,0.5828,50000
steane,"Steane [[7,1,3]] code",7,bitflip,0.001,1.8333333333333333e-05,3000000
steane,"Steane [[7,1,3]] code",7,bitflip,0.0013301714391945158,3.0150557696639277e-05,2255348
steane,"Steane [[7,1,3]] code",7,bitflip,0.0017693560576488095,6.36968220004105e-05,1695532
steane,"Steane [[7,1,3]] code",7,bitflip,0.002353546893650254,0.00011140129492237604,1274671
steane,"Steane [[7,1,3]] code",7,bitflip,0.00313062085873854,0.00019096794660410988,958276
steane,"Steane [[7,1,3]] code",7,bitflip,0.0041642624532406145,0.0003373055808110603,720415
steane,"Steane [[7,1,3]] code",7,bitflip,0.005539182980610753,0.0006203886291626969,541596
steane,"Steane [[7,1,3]] code",7,bitflip,0.0073680629972807735,0.0011052111935789687,407162
steane,"Steane [[7,1,3]] code",7,bitflip,0.009800786961168824,0.001813150733264292,306097
